drug_name,pri_score,degree_component,weighted_component,betweenness_component,severity_component
fremanezumab,0.250942,0.00029,0.000652,0.0,0.25
galcanezumab,0.250942,0.00029,0.000652,0.0,0.25
magnesium stearate,0.250942,0.00029,0.000652,0.0,0.25
fanolesomab,0.250942,0.00029,0.000652,0.0,0.25
lecanemab,0.250942,0.00029,0.000652,0.0,0.25
lanadelumab,0.250942,0.00029,0.000652,0.0,0.25
camrelizumab,0.250942,0.00029,0.000652,0.0,0.25
setrusumab,0.250942,0.00029,0.000652,0.0,0.25
gancotamab,0.250942,0.00029,0.000652,0.0,0.25
anetumab ravtansine,0.250942,0.00029,0.000652,0.0,0.25
icrucumab,0.250942,0.00029,0.000652,0.0,0.25
codrituzumab,0.250942,0.00029,0.000652,0.0,0.25
brolucizumab,0.250942,0.00029,0.000652,0.0,0.25
xentuzumab,0.250942,0.00029,0.000652,0.0,0.25
vobarilizumab,0.250942,0.00029,0.000652,0.0,0.25
parsatuzumab,0.250942,0.00029,0.000652,0.0,0.25
emactuzumab,0.250942,0.00029,0.000652,0.0,0.25
bevacizumab zirconium zr-89,0.250942,0.00029,0.000652,0.0,0.25
refanezumab,0.250942,0.00029,0.000652,0.0,0.25
pamrevlumab,0.250942,0.00029,0.000652,0.0,0.25
opicinumab,0.250942,0.00029,0.000652,0.0,0.25
dalantercept,0.250942,0.00029,0.000652,0.0,0.25
pateclizumab,0.250942,0.00029,0.000652,0.0,0.25
gremubamab,0.250942,0.00029,0.000652,0.0,0.25
apomab,0.250942,0.00029,0.000652,0.0,0.25
ipafricept,0.250942,0.00029,0.000652,0.0,0.25
abrilumab,0.250942,0.00029,0.000652,0.0,0.25
frovocimab,0.250942,0.00029,0.000652,0.0,0.25
tezepelumab,0.250942,0.00029,0.000652,0.0,0.25
tigatuzumab,0.250942,0.00029,0.000652,0.0,0.25
utomilumab,0.250942,0.00029,0.000652,0.0,0.25
ponezumab,0.250942,0.00029,0.000652,0.0,0.25
asunercept,0.250942,0.00029,0.000652,0.0,0.25
suvratoxumab,0.250942,0.00029,0.000652,0.0,0.25
mitazalimab,0.250942,0.00029,0.000652,0.0,0.25
nemolizumab,0.250942,0.00029,0.000652,0.0,0.25
gedivumab,0.250942,0.00029,0.000652,0.0,0.25
valanafusp alfa,0.250942,0.00029,0.000652,0.0,0.25
sofituzumab vedotin,0.250942,0.00029,0.000652,0.0,0.25
istiratumab,0.250942,0.00029,0.000652,0.0,0.25
gma-161,0.250942,0.00029,0.000652,0.0,0.25
ladiratuzumab vedotin,0.250942,0.00029,0.000652,0.0,0.25
tomaralimab,0.250942,0.00029,0.000652,0.0,0.25
vesencumab,0.250942,0.00029,0.000652,0.0,0.25
pinatuzumab vedotin,0.250942,0.00029,0.000652,0.0,0.25
lulizumab pegol,0.250942,0.00029,0.000652,0.0,0.25
lorukafusp alfa,0.250942,0.00029,0.000652,0.0,0.25
naratuximab emtansine,0.250942,0.00029,0.000652,0.0,0.25
zenocutuzumab,0.250942,0.00029,0.000652,0.0,0.25
bamlanivimab,0.250942,0.00029,0.000652,0.0,0.25
cosibelimab,0.250942,0.00029,0.000652,0.0,0.25
pentaglobin,0.250942,0.00029,0.000652,0.0,0.25
atoltivimab,0.250942,0.00029,0.000652,0.0,0.25
maftivimab,0.250942,0.00029,0.000652,0.0,0.25
odesivimab,0.250942,0.00029,0.000652,0.0,0.25
imdevimab,0.250942,0.00029,0.000652,0.0,0.25
casirivimab,0.250942,0.00029,0.000652,0.0,0.25
efungumab,0.250942,0.00029,0.000652,0.0,0.25
foralumab,0.250942,0.00029,0.000652,0.0,0.25
indatuximab ravtansine,0.250942,0.00029,0.000652,0.0,0.25
olinvacimab,0.250942,0.00029,0.000652,0.0,0.25
sotrovimab,0.250942,0.00029,0.000652,0.0,0.25
actoxumab,0.250942,0.00029,0.000652,0.0,0.25
ansuvimab,0.250942,0.00029,0.000652,0.0,0.25
axatilimab,0.250942,0.00029,0.000652,0.0,0.25
cilgavimab,0.250942,0.00029,0.000652,0.0,0.25
tixagevimab,0.250942,0.00029,0.000652,0.0,0.25
vilobelimab,0.250942,0.00029,0.000652,0.0,0.25
volagidemab,0.250942,0.00029,0.000652,0.0,0.25
donanemab,0.250942,0.00029,0.000652,0.0,0.25
bentracimab,0.250942,0.00029,0.000652,0.0,0.25
tegoprazan,0.250942,0.00029,0.000652,0.0,0.25
amivantamab,0.250942,0.00029,0.000652,0.0,0.25
penpulimab,0.250942,0.00029,0.000652,0.0,0.25
bebtelovimab,0.250942,0.00029,0.000652,0.0,0.25
linvoseltamab,0.250942,0.00029,0.000652,0.0,0.25
marstacimab,0.250942,0.00029,0.000652,0.0,0.25
clesrovimab,0.250942,0.00029,0.000652,0.0,0.25
sipavibart,0.250942,0.00029,0.000652,0.0,0.25
trovafloxacin,0.250783,0.006956,0.014357,9.5e-05,0.229375
pipemidic acid,0.250783,0.006956,0.014357,9.5e-05,0.229375
maralixibat,0.250754,0.000232,0.000522,0.0,0.25
calcium phosphate dihydrate,0.250753,0.000232,0.000522,0.0,0.25
ceftazidime,0.250747,0.00968,0.019312,4.9e-05,0.221707
lipegfilgrastim,0.250736,0.000174,0.000391,0.000171,0.25
ertugliflozin,0.250721,0.007477,0.015335,1e-06,0.227907
luseogliflozin,0.250721,0.007477,0.015335,1e-06,0.227907
(s)-warfarin,0.250697,0.010492,0.020708,0.000161,0.219337
urethane,0.250696,0.001275,0.00283,0.0,0.246591
s-ethylisothiourea,0.250696,0.001275,0.00283,0.0,0.246591
drotebanol,0.250696,0.001275,0.00283,0.0,0.246591
alclometasone,0.250696,0.001275,0.00283,0.0,0.246591
amcinonide,0.250696,0.001275,0.00283,0.0,0.246591
flurandrenolide,0.250696,0.001275,0.00283,0.0,0.246591
halcinonide,0.250696,0.001275,0.00283,0.0,0.246591
methylprednisolone hemisuccinate,0.250678,0.003826,0.008215,1e-06,0.238636
etafedrine,0.250675,0.014607,0.027423,1.4e-05,0.208631
isoflurane,0.250654,0.015361,0.028571,2.4e-05,0.206698
cefotetan,0.250621,0.009738,0.019404,5e-05,0.221429
cefprozil,0.250608,0.007651,0.015648,3.6e-05,0.227273
ferulic acid,0.250593,0.004173,0.008919,0.0,0.2375
darbepoetin alfa,0.250566,0.000174,0.000391,0.0,0.25
odevixibat,0.250565,0.000174,0.000391,0.0,0.25
valoctocogene roxaparvovec,0.250565,0.000174,0.000391,0.0,0.25
lipoic acid,0.250565,0.000174,0.000391,0.0,0.25
carphenazine,0.250565,0.000174,0.000391,0.0,0.25
alizapride,0.250565,0.000174,0.000391,0.0,0.25
ecgonine,0.250565,0.000174,0.000391,0.0,0.25
methylecgonine,0.250565,0.000174,0.000391,0.0,0.25
bromopride,0.250565,0.000174,0.000391,0.0,0.25
as-8112,0.250565,0.000174,0.000391,0.0,0.25
cimetropium,0.250565,0.000174,0.000391,0.0,0.25
activated charcoal,0.250565,0.000174,0.000391,0.0,0.25
jnj-37822681,0.250565,0.000174,0.000391,0.0,0.25
clebopride,0.250565,0.000174,0.000391,0.0,0.25
sodium zirconium cyclosilicate,0.250565,0.000174,0.000391,0.0,0.25
fallypride,0.250565,0.000174,0.000391,0.0,0.25
imlifidase,0.250565,0.000174,0.000391,0.0,0.25
eticlopride,0.250565,0.000174,0.000391,0.0,0.25
influenza a virus a/norway/16606/2021 (h3n2) live (attenuated) antigen,0.250565,0.000174,0.000391,0.0,0.25
influenza a virus a/norway/31694/2022 (h1n1) live (attenuated) antigen,0.250565,0.000174,0.000391,0.0,0.25
influenza a virus a/thailand/8/2022 ivr-237 (h3n2) whole,0.250565,0.000174,0.000391,0.0,0.25
influenza a virus a/perth/722/2024 (h3n2) live (attenuated) antigen,0.250565,0.000174,0.000391,0.0,0.25
methadone,0.250563,0.013796,0.026145,1.3e-05,0.210609
gepirone,0.250543,0.006376,0.013249,9e-06,0.230909
ceftibuten,0.250531,0.010781,0.021164,0.000441,0.218145
dienogest,0.250516,0.011245,0.021973,0.00016,0.217139
pegfilgrastim,0.25048,0.000116,0.000261,0.000103,0.25
bexagliflozin,0.250463,0.007535,0.015426,1e-06,0.2275
trabectedin,0.250447,0.012173,0.023511,0.00012,0.214643
molindone,0.250415,0.002087,0.004577,1e-06,0.24375
felypressin,0.250377,0.000116,0.000261,0.0,0.25
calyculin a,0.250377,0.000116,0.000261,0.0,0.25
ferric pyrophosphate,0.250377,0.000116,0.000261,0.0,0.25
bismuth subcitrate potassium,0.250377,0.000116,0.000261,0.0,0.25
setiptiline,0.250377,0.000116,0.000261,0.0,0.25
aptazapine,0.250377,0.000116,0.000261,0.0,0.25
bismuth subcarbonate,0.250377,0.000116,0.000261,0.0,0.25
ferrous sulfate anhydrous,0.250377,0.000116,0.000261,0.0,0.25
adrenalone,0.250377,0.000116,0.000261,0.0,0.25
ornipressin,0.250377,0.000116,0.000261,0.0,0.25
lypressin,0.250377,0.000116,0.000261,0.0,0.25
ethchlorvynol,0.250345,0.001217,0.002699,0.0,0.246429
meprobamate,0.250345,0.001217,0.002699,0.0,0.246429
methocarbamol,0.250345,0.001217,0.002699,0.0,0.246429
methyprylon,0.250345,0.001217,0.002699,0.0,0.246429
chlormezanone,0.250345,0.001217,0.002699,0.0,0.246429
gamma-hydroxybutyric acid,0.250345,0.001217,0.002699,0.0,0.246429
fencamfamin,0.250345,0.001217,0.002699,0.0,0.246429
dichloralphenazone,0.250345,0.001217,0.002699,0.0,0.246429
difenoxin,0.250345,0.001217,0.002699,0.0,0.246429
chlorhexadol,0.250345,0.001217,0.002699,0.0,0.246429
cathinone,0.250345,0.001217,0.002699,0.0,0.246429
domoic acid,0.250345,0.001217,0.002699,0.0,0.246429
phenethylamine,0.250345,0.001217,0.002699,0.0,0.246429
pagoclone,0.250345,0.001217,0.002699,0.0,0.246429
tolperisone,0.250345,0.001217,0.002699,0.0,0.246429
ocinaplon,0.250345,0.001217,0.002699,0.0,0.246429
adipiplon,0.250345,0.001217,0.002699,0.0,0.246429
fospropofol,0.250345,0.001217,0.002699,0.0,0.246429
triclofos,0.250345,0.001217,0.002699,0.0,0.246429
mebutamate,0.250345,0.001217,0.002699,0.0,0.246429
arbaclofen placarbil,0.250345,0.001217,0.002699,0.0,0.246429
etifoxine,0.250345,0.001217,0.002699,0.0,0.246429
benzoctamine,0.250345,0.001217,0.002699,0.0,0.246429
alfaxalone,0.250345,0.001217,0.002699,0.0,0.246429
tricaine,0.250345,0.001217,0.002699,0.0,0.246429
zolazepam,0.250345,0.001217,0.002699,0.0,0.246429
thiocolchicoside,0.250345,0.001217,0.002699,0.0,0.246429
psilocybin,0.250345,0.001217,0.002699,0.0,0.246429
imagabalin,0.250345,0.001217,0.002699,0.0,0.246429
eltanolone,0.250345,0.001217,0.002699,0.0,0.246429
salvinorin a,0.250345,0.001217,0.002699,0.0,0.246429
azd-3043,0.250345,0.001217,0.002699,0.0,0.246429
indiplon,0.250345,0.001217,0.002699,0.0,0.246429
nefiracetam,0.250345,0.001217,0.002699,0.0,0.246429
valnoctamide,0.250345,0.001217,0.002699,0.0,0.246429
apronalide,0.250345,0.001217,0.002699,0.0,0.246429
propanidid,0.250345,0.001217,0.002699,0.0,0.246429
proxibarbal,0.250345,0.001217,0.002699,0.0,0.246429
febarbamate,0.250345,0.001217,0.002699,0.0,0.246429
tetrazepam,0.250345,0.001217,0.002699,0.0,0.246429
pyrithyldione,0.250345,0.001217,0.002699,0.0,0.246429
phenprobamate,0.250345,0.001217,0.002699,0.0,0.246429
styramate,0.250345,0.001217,0.002699,0.0,0.246429
bromisoval,0.250345,0.001217,0.002699,0.0,0.246429
vinbarbital,0.250345,0.001217,0.002699,0.0,0.246429
acetylglycinamide chloral hydrate,0.250345,0.001217,0.002699,0.0,0.246429
fenyramidol,0.250345,0.001217,0.002699,0.0,0.246429
temgicoluril,0.250345,0.001217,0.002699,0.0,0.246429
gedocarnil,0.250345,0.001217,0.002699,0.0,0.246429
emylcamate,0.250345,0.001217,0.002699,0.0,0.246429
allobarbital,0.250345,0.001217,0.002699,0.0,0.246429
oxiracetam,0.250345,0.001217,0.002699,0.0,0.246429
fabomotizole,0.250345,0.001217,0.002699,0.0,0.246429
pridinol,0.250345,0.001217,0.002699,0.0,0.246429
hexapropymate,0.250345,0.001217,0.002699,0.0,0.246429
niaprazine,0.250345,0.001217,0.002699,0.0,0.246429
vinyl ether,0.250345,0.001217,0.002699,0.0,0.246429
methylpentynol,0.250345,0.001217,0.002699,0.0,0.246429
cyclobarbital,0.250345,0.001217,0.002699,0.0,0.246429
fazadinium bromide,0.250345,0.001217,0.002699,0.0,0.246429
mephenoxalone,0.250345,0.001217,0.002699,0.0,0.246429
vinylbital,0.250345,0.001217,0.002699,0.0,0.246429
reposal,0.250345,0.001217,0.002699,0.0,0.246429
carbromal,0.250345,0.001217,0.002699,0.0,0.246429
cyclopropane,0.250345,0.001217,0.002699,0.0,0.246429
mrk-409,0.250345,0.001217,0.002699,0.0,0.246429
pyrazolam,0.250345,0.001217,0.002699,0.0,0.246429
etomidate,0.250305,0.014491,0.027202,1.2e-05,0.2086
clenbuterol,0.250257,0.012288,0.023694,6e-06,0.214269
goserelin,0.250215,0.00968,0.019273,4e-06,0.221257
vasopressin,0.250212,0.001681,0.003703,0.0,0.244828
delorazepam,0.250212,0.001681,0.003703,0.0,0.244828
medazepam,0.250212,0.001681,0.003703,0.0,0.244828
nalidixic acid,0.250192,0.007072,0.01454,9.8e-05,0.228484
sargramostim,0.250188,5.8e-05,0.00013,0.0,0.25
pegademase,0.250188,5.8e-05,0.00013,0.0,0.25
pancrelipase,0.250188,5.8e-05,0.00013,0.0,0.25
filgrastim,0.250188,5.8e-05,0.00013,0.0,0.25
agalsidase beta,0.250188,5.8e-05,0.00013,0.0,0.25
deferoxamine,0.250188,5.8e-05,0.00013,0.0,0.25
tetracosactide,0.250188,5.8e-05,0.00013,0.0,0.25
iohexol,0.250188,5.8e-05,0.00013,0.0,0.25
propylene glycol,0.250188,5.8e-05,0.00013,0.0,0.25
cephalosporin analog,0.250188,5.8e-05,0.00013,0.0,0.25
carbenoxolone,0.250188,5.8e-05,0.00013,0.0,0.25
"3-aza-2,3-dihydrogeranyl diphosphate",0.250188,5.8e-05,0.00013,0.0,0.25
thiopyrophosphate,0.250188,5.8e-05,0.00013,0.0,0.25
geranyl diphosphate,0.250188,5.8e-05,0.00013,0.0,0.25
cephalosporin c,0.250188,5.8e-05,0.00013,0.0,0.25
heptaethylene glycol,0.250188,5.8e-05,0.00013,0.0,0.25
cilomilast,0.250188,5.8e-05,0.00013,0.0,0.25
deacetoxycephalosporin c,0.250188,5.8e-05,0.00013,0.0,0.25
pyrophosphoric acid,0.250188,5.8e-05,0.00013,0.0,0.25
oxi-4503,0.250188,5.8e-05,0.00013,0.0,0.25
egaptivon pegol,0.250188,5.8e-05,0.00013,0.0,0.25
peg-uricase,0.250188,5.8e-05,0.00013,0.0,0.25
romiplostim,0.250188,5.8e-05,0.00013,0.0,0.25
maxy-g34,0.250188,5.8e-05,0.00013,0.0,0.25
peginterferon alfacon-1,0.250188,5.8e-05,0.00013,0.0,0.25
glycopeg-gcsf,0.250188,5.8e-05,0.00013,0.0,0.25
ferumoxytol,0.250188,5.8e-05,0.00013,0.0,0.25
pegnivacogin,0.250188,5.8e-05,0.00013,0.0,0.25
pegpleranib,0.250188,5.8e-05,0.00013,0.0,0.25
thrombopoietin,0.250188,5.8e-05,0.00013,0.0,0.25
pegsunercept,0.250188,5.8e-05,0.00013,0.0,0.25
prussian blue,0.250188,5.8e-05,0.00013,0.0,0.25
levopropoxyphene,0.250188,5.8e-05,0.00013,0.0,0.25
tesamorelin,0.250188,5.8e-05,0.00013,0.0,0.25
ferric carboxymaltose,0.250188,5.8e-05,0.00013,0.0,0.25
trimetazidine,0.250188,5.8e-05,0.00013,0.0,0.25
sodium chloride,0.250188,5.8e-05,0.00013,0.0,0.25
iodide i-131,0.250188,5.8e-05,0.00013,0.0,0.25
ferric ammonium citrate,0.250188,5.8e-05,0.00013,0.0,0.25
ferumoxsil,0.250188,5.8e-05,0.00013,0.0,0.25
ferumoxides,0.250188,5.8e-05,0.00013,0.0,0.25
ferric sulfate,0.250188,5.8e-05,0.00013,0.0,0.25
sage oil,0.250188,5.8e-05,0.00013,0.0,0.25
ferrous bisglycinate,0.250188,5.8e-05,0.00013,0.0,0.25
borage oil,0.250188,5.8e-05,0.00013,0.0,0.25
gleptoferron,0.250188,5.8e-05,0.00013,0.0,0.25
phenothiazine,0.250188,5.8e-05,0.00013,0.0,0.25
sodium tripolyphosphate,0.250188,5.8e-05,0.00013,0.0,0.25
ferric oxide,0.250188,5.8e-05,0.00013,0.0,0.25
eptacog alfa pegol (activated),0.250188,5.8e-05,0.00013,0.0,0.25
olaptesed pegol,0.250188,5.8e-05,0.00013,0.0,0.25
ilaprazole,0.250188,5.8e-05,0.00013,0.0,0.25
gsk-256066,0.250188,5.8e-05,0.00013,0.0,0.25
iron isomaltoside 1000,0.250188,5.8e-05,0.00013,0.0,0.25
abicipar pegol,0.250188,5.8e-05,0.00013,0.0,0.25
muplestim,0.250188,5.8e-05,0.00013,0.0,0.25
lexaptepid pegol,0.250188,5.8e-05,0.00013,0.0,0.25
balugrastim,0.250188,5.8e-05,0.00013,0.0,0.25
lotamilast,0.250188,5.8e-05,0.00013,0.0,0.25
perflubutane,0.250188,5.8e-05,0.00013,0.0,0.25
pegvaliase,0.250188,5.8e-05,0.00013,0.0,0.25
pegamotecan,0.250188,5.8e-05,0.00013,0.0,0.25
lenograstim,0.250188,5.8e-05,0.00013,0.0,0.25
sodium feredetate,0.250188,5.8e-05,0.00013,0.0,0.25
ferric hydroxide,0.250188,5.8e-05,0.00013,0.0,0.25
ferrous chloride,0.250188,5.8e-05,0.00013,0.0,0.25
gamolenic acid,0.250188,5.8e-05,0.00013,0.0,0.25
ferric cation,0.250188,5.8e-05,0.00013,0.0,0.25
ferric pyrophosphate citrate,0.250188,5.8e-05,0.00013,0.0,0.25
desmethylsertraline,0.250188,5.8e-05,0.00013,0.0,0.25
ditiocarb zinc,0.250188,5.8e-05,0.00013,0.0,0.25
zinc dibutyldithiocarbamate,0.250188,5.8e-05,0.00013,0.0,0.25
centella asiatica,0.250188,5.8e-05,0.00013,0.0,0.25
ferrous gluconate,0.250188,5.8e-05,0.00013,0.0,0.25
ferrous succinate,0.250188,5.8e-05,0.00013,0.0,0.25
ferrous fumarate,0.250188,5.8e-05,0.00013,0.0,0.25
tetraferric tricitrate decahydrate,0.250188,5.8e-05,0.00013,0.0,0.25
phosphate ion,0.250188,5.8e-05,0.00013,0.0,0.25
ferric oxyhydroxide,0.250188,5.8e-05,0.00013,0.0,0.25
elapegademase,0.250188,5.8e-05,0.00013,0.0,0.25
fitusiran,0.250188,5.8e-05,0.00013,0.0,0.25
leridistim,0.250188,5.8e-05,0.00013,0.0,0.25
pegteograstim,0.250188,5.8e-05,0.00013,0.0,0.25
ferric maltol,0.250188,5.8e-05,0.00013,0.0,0.25
iron polymaltose,0.250188,5.8e-05,0.00013,0.0,0.25
agalsidase alfa,0.250188,5.8e-05,0.00013,0.0,0.25
carbaryl,0.250188,5.8e-05,0.00013,0.0,0.25
ensifentrine,0.250188,5.8e-05,0.00013,0.0,0.25
lithium chloride,0.250188,5.8e-05,0.00013,0.0,0.25
efbemalenograstim alfa,0.250188,5.8e-05,0.00013,0.0,0.25
moxifloxacin,0.250119,0.006956,0.014318,9.5e-05,0.22875
gemifloxacin,0.250119,0.006956,0.014318,9.5e-05,0.22875
garenoxacin,0.250119,0.006956,0.014318,9.5e-05,0.22875
nemonoxacin,0.250119,0.006956,0.014318,9.5e-05,0.22875
sitafloxacin,0.250119,0.006956,0.014318,9.5e-05,0.22875
capecitabine,0.250099,0.01281,0.024515,0.000104,0.21267
testosterone undecanoate,0.250016,0.012173,0.023472,8.5e-05,0.214286
temafloxacin,0.249906,0.00713,0.014631,9.7e-05,0.228049
guanine,0.2499,0.003304,0.00712,2e-06,0.239474
pcs-499,0.2499,0.003304,0.00712,2e-06,0.239474
magnesium silicate,0.2499,0.003304,0.00712,2e-06,0.239474
rimonabant,0.249878,0.003884,0.008307,1e-06,0.237687
cinoxacin,0.249826,0.007014,0.014409,9.7e-05,0.228306
magaldrate,0.249806,0.003072,0.006637,2e-06,0.240094
hydrotalcite,0.249806,0.003072,0.006637,2e-06,0.240094
ergometrine,0.249742,0.01252,0.02402,8e-06,0.213194
omapatrilat,0.249714,0.014607,0.027306,6.3e-05,0.207738
flucytosine,0.249713,0.010202,0.020134,5.9e-05,0.219318
nilotinib,0.249607,0.013622,0.025754,0.000125,0.210106
ibudilast,0.249605,0.014781,0.027541,0.000224,0.207059
megestrol acetate,0.249603,0.011303,0.021986,0.000161,0.216154
promazine,0.249572,0.016114,0.029562,2.9e-05,0.203867
(r)-warfarin,0.249569,0.011361,0.022077,0.000187,0.215944
liothyronine,0.249548,0.011303,0.021986,0.000105,0.216154
pergolide,0.249472,0.012288,0.023616,7e-06,0.213561
chlordiazepoxide,0.249452,0.001565,0.003443,0.0,0.244444
halazepam,0.249452,0.001565,0.003443,0.0,0.244444
camazepam,0.249452,0.001565,0.003443,0.0,0.244444
ethyl loflazepate,0.249452,0.001565,0.003443,0.0,0.244444
cloxazolam,0.249452,0.001565,0.003443,0.0,0.244444
fludiazepam,0.249452,0.001565,0.003443,0.0,0.244444
cinolazepam,0.249452,0.001565,0.003443,0.0,0.244444
remimazolam,0.249452,0.001565,0.003443,0.0,0.244444
pinazepam,0.249452,0.001565,0.003443,0.0,0.244444
loprazolam,0.249452,0.001565,0.003443,0.0,0.244444
doxefazepam,0.249452,0.001565,0.003443,0.0,0.244444
lormetazepam,0.249452,0.001565,0.003443,0.0,0.244444
nordazepam,0.249452,0.001565,0.003443,0.0,0.244444
oxazepam acetate,0.249452,0.001565,0.003443,0.0,0.244444
cinazepam,0.249452,0.001565,0.003443,0.0,0.244444
bentazepam,0.249452,0.001565,0.003443,0.0,0.244444
indalpine,0.249449,0.01252,0.023981,0.000101,0.212847
bunazosin,0.249437,0.006086,0.012636,1e-06,0.230714
zimelidine,0.249401,0.012636,0.024163,0.000102,0.2125
amperozide,0.249282,0.001913,0.004186,1e-06,0.243182
brilaroxazine,0.249282,0.001913,0.004186,1e-06,0.243182
lomefloxacin,0.249258,0.00713,0.014592,9.7e-05,0.227439
ruxolitinib,0.249241,0.014955,0.027775,0.000115,0.206395
chloramphenicol,0.24923,0.007999,0.016196,3.5e-05,0.225
vistusertib,0.249185,0.001043,0.002308,0.0,0.245833
gsk-1059615,0.249185,0.001043,0.002308,0.0,0.245833
osi-027,0.249185,0.001043,0.002308,0.0,0.245833
azd-8055,0.249185,0.001043,0.002308,0.0,0.245833
ormeloxifene,0.249108,0.004579,0.009676,4.3e-05,0.23481
norgestrienone,0.249108,0.004579,0.009676,4.3e-05,0.23481
procaterol,0.249079,0.012288,0.023576,6e-06,0.213208
docetaxel,0.249042,0.010665,0.020864,0.000121,0.217391
levocetirizine,0.249011,0.010607,0.020773,8e-06,0.217623
formoterol,0.248999,0.015766,0.028975,3e-05,0.204228
vortioxetine,0.248968,0.017563,0.03157,8.2e-05,0.199752
esterified estrogens,0.248892,0.004695,0.009897,4e-05,0.234259
gemcitabine,0.248876,0.011535,0.022312,8e-05,0.21495
magnesium trisilicate,0.248867,0.008984,0.017943,4e-06,0.221935
thiothixene,0.248798,0.00655,0.013483,4e-06,0.228761
propiomazine,0.248779,0.013332,0.02522,1e-05,0.210217
prednicarbate,0.248631,0.001449,0.003182,0.0,0.244
desonide,0.248631,0.001449,0.003182,0.0,0.244
clobetasol,0.248631,0.001449,0.003182,0.0,0.244
hydrocortisone aceponate,0.248631,0.001449,0.003182,0.0,0.244
ceftobiprole medocaril,0.248523,0.004927,0.010341,2e-05,0.233235
promethazine,0.248518,0.014201,0.02655,1.2e-05,0.207755
gatifloxacin,0.248507,0.007014,0.014331,9.6e-05,0.227066
lurasidone,0.248471,0.013969,0.026184,1.8e-05,0.208299
thiotepa,0.248459,0.009854,0.01943,5.8e-05,0.219118
butabarbital,0.24843,0.0131,0.024815,6e-06,0.210509
methylprednisolone aceponate,0.248411,0.003478,0.007433,0.0,0.2375
desoxycortone,0.248411,0.003478,0.007433,0.0,0.2375
corticotropin zinc hydroxide,0.248411,0.003478,0.007433,0.0,0.2375
temazepam,0.248377,0.007593,0.0154,2e-06,0.225382
fluconazole,0.248349,0.015303,0.028206,1.1e-05,0.20483
bexarotene,0.248323,0.008811,0.017591,4.6e-05,0.221875
belinostat,0.248248,0.008115,0.016339,4.3e-05,0.22375
diethylcarbamazine,0.248242,0.00284,0.006116,0.0,0.239286
"2,5-dimethoxy-4-ethylthioamphetamine",0.248232,0.012462,0.023772,2.1e-05,0.211977
cholic acid,0.248227,0.007651,0.015492,8.4e-05,0.225
buformin,0.248135,0.007072,0.014422,1e-06,0.226639
enoxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
pefloxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
rosoxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
technetium tc-99m ciprofloxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
flumequine,0.248127,0.006956,0.014201,9.5e-05,0.226875
orbifloxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
sarafloxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
difloxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
pazufloxacin,0.248127,0.006956,0.014201,9.5e-05,0.226875
ganaxolone,0.248034,0.001739,0.003795,0.0,0.2425
azatadine,0.247859,0.005101,0.010654,2e-06,0.232102
sulfadoxine,0.247825,0.000869,0.001917,3.8e-05,0.245
alogliptin,0.247801,0.012694,0.024098,4.9e-05,0.210959
octylphenoxy polyethoxyethanol,0.247764,0.004231,0.008932,1.1e-05,0.234589
trestolone,0.247764,0.004231,0.008932,1.1e-05,0.234589
gossypol,0.247764,0.004231,0.008932,1.1e-05,0.234589
algestone acetophenide,0.247764,0.004231,0.008932,1.1e-05,0.234589
chlormadinone acetate,0.247764,0.004231,0.008932,1.1e-05,0.234589
plumbagin,0.247764,0.004231,0.008932,1.1e-05,0.234589
algestone,0.247764,0.004231,0.008932,1.1e-05,0.234589
hydrocortisone probutate,0.247732,0.001333,0.002921,0.0,0.243478
hydrocortisone valerate,0.247732,0.001333,0.002921,0.0,0.243478
exenatide,0.247727,0.007304,0.014827,1e-06,0.225595
lithium cation,0.247686,0.011941,0.022872,9e-06,0.212864
clidinium,0.247638,0.004058,0.00858,1e-06,0.235
emepronium,0.247638,0.004058,0.00858,1e-06,0.235
"2,5-dimethoxy-4-ethylamphetamine",0.247608,0.011477,0.022103,1.3e-05,0.214015
magnesium hydroxide,0.247535,0.0091,0.018047,5e-06,0.220382
daunorubicin,0.247528,0.008521,0.017017,5.1e-05,0.221939
acrivastine,0.247516,0.009564,0.018856,5e-06,0.219091
lixisenatide,0.24751,0.010723,0.020838,3e-06,0.215946
hexoprenaline,0.247507,0.012288,0.02342,6e-06,0.211792
seproxetine,0.247468,0.012636,0.023968,8.4e-05,0.21078
saxagliptin,0.247462,0.01252,0.023785,4.5e-05,0.211111
brolamfetamine,0.247456,0.012462,0.023694,2.1e-05,0.211279
tenamfetamine,0.247456,0.012462,0.023694,2.1e-05,0.211279
potassium triiodide,0.247389,0.00655,0.013405,0.0,0.227434
benzphetamine,0.247341,0.013448,0.025246,2.7e-05,0.208621
andrographolide,0.247325,0.004753,0.00995,0.0,0.232622
vindesine,0.247321,0.008405,0.016796,5.2e-05,0.222069
busulfan,0.247321,0.008405,0.016796,5.2e-05,0.222069
gadobenic acid,0.24726,0.009216,0.01823,2e-06,0.219811
