drugbank_id,name,type,cas_number,unii,atc_codes,groups,indication,mechanism_of_action,smiles,inchi_key,molecular_weight,logp,pubchem_cid,chembl_id,kegg_id
DB05521,Telaprevir,small molecule,402957-28-2,655M5O3W0U,J05AP02,approved|withdrawn,"Telaprevir, when used in combination with [DB00811], [DB00008], and [DB00022] is indicated for use in the treatment of chronic HCV genotype 1 infection in adults [FDA Label].","Telaprevir is a NS3/4a protease inhibitor used to inhibit viral HCV replication [FDA Label]. NS3/4a protease is an integral part of viral replication and mediates the cleavage the virally encoded polyprotein to mature proteins (NS4A, NS4B, NS5A and NS5B) [FDA Label]. Telaprevir inhibits NS3/4A with an IC50 of 10nM.",[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,BBAWEDCPNXPBQM-GDEBMMAJSA-N,679.8493,2.58,3010818,CHEMBL231813,D09012
DB05524,Pelitinib,small molecule,257933-82-7,X5DWL380Z6,,investigational,Investigated for use/treatment in colorectal cancer and lung cancer.,,CCOC1=CC2=C(C=C1NC(=O)\C=C\CN(C)C)C(NC1=CC(Cl)=C(F)C=C1)=C(C=N2)C#N,WVUNYSQLFKLYNI-AATRIKPKSA-N,467.93,4.18,,CHEMBL607707,
DB05528,Mipomersen,biotech,1000120-98-8,9GJ8S4GU0M,C10AX11,approved,Used in patients with homozygous familial hypercholesterolemia as an adjunct to diet and other lipid-lowering medications.,"Mipomersen binds to the mRNA that codes for apoB-100. This binding leads to double-stranded RNA, which is degraded by RNase H and prevents translation of the mRNA to form the apo B-100 protein.",,,,,131704297,CHEMBL2219536,D08946
DB05540,Alanosine,small molecule,5854-93-3,2CNI71214Y,,investigational,Investigated for use/treatment in brain cancer and cancer/tumors (unspecified).,"L-alanosine inhibits adenylosuccinate synthetase, which converts inosine monophospate (IMP) into adenylosuccinate, an intermediate in purine metabolism. L-alanosine-induced disruption of de novo purine biosynthesis is potentiated by methylthioadenosine phosphorylase (MTAP) deficiency.",N[C@@H](CN(O)N=O)C(O)=O,MLFKVJCWGUZWNV-REOHCLBHSA-N,149.1054,-3.6,22128,CHEMBL452715,
DB05541,Brivaracetam,small molecule,357336-20-0,U863JGG2IA,N03AX23,approved|investigational,Used as adjunctive therapy for partial-onset seizures in patients 16 years of age or older.,The precise mechanism of brivaracetam's anti-epileptogenic activity is unknown.,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,MSYKRHVOOPPJKU-BDAKNGLRSA-N,212.2887,0.66,9837243,CHEMBL607400,D08879
DB05542,Naronapride,small molecule,860174-12-5,058896B00B,,investigational,Investigated for use/treatment in gastroesophageal reflux disease (GERD) and gastroparesis.,,CO[C@H]1CN(CCCCCC(=O)O[C@H]2CN3CCC2CC3)CC[C@H]1NC(=O)C1=C(OC)C=C(N)C(Cl)=C1,VGDDOIZXGFJDRC-VJTSUQJLSA-N,537.1,2.06,,CHEMBL2103858,
DB05545,AMG 108,biotech,877879-38-4,,,investigational,Investigated for use/treatment in osteoarthritis and rheumatoid arthritis.,,,,,,,,
DB05550,Iratumumab,biotech,640735-09-7,AYH22O1B1U,,investigational,Investigated for use/treatment in lymphoma (unspecified).,,,,,,,,
DB05555,Enokizumab,biotech,909875-08-7,I4BE5F78HR,,investigational,Investigated for use/treatment in asthma.,,,,,,,,
DB05562,Naluzotan,small molecule,740873-06-7,LQ54E5B4EW,,investigational,Investigated for use/treatment in anxiety disorders and depression.,,CC(=O)NC1=CC=CC(=C1)N1CCN(CCCCNS(=O)(=O)CC2CCCCC2)CC1,SPWZXWDPAWDKQE-UHFFFAOYSA-N,450.64,2.53,,CHEMBL209821,
DB05578,Ramucirumab,biotech,947687-13-0,D99YVK4L0X,L01FG02,approved|investigational,"Ramucirumab is indicated for the treatment of advanced or metastatic gastric or gastro-esophageal junction adenocarcinoma as a single agent or in combination with [paclitaxel] for patients who progress after prior fluoropyrimidine- or platinum-containing chemotherapy. It is indicated, in combination with [erlotinib], for the first-line treatment of metastatic non-small cell lung cancer with epidermal growth factor exon 19 deletions or exon 21 (L858R) point mutations. It is also indicated in combination with [docetaxel] for the treatment of metastatic non-small cell lung cancer in patients who have progressed following prior platinum-based chemotherapy. Patients who have EGFR or ALK genomic aberrations should also have disease progression following FDA-approved therapy for these aberrations. Ramucirumab, in combination with FOLFIRI ([folinic acid], [fluorouracil], and [irinotecan]), is indicated for the treatment of metastatic colorectal cancer in patients who have progressed following ","Ramucirumab is a human monoclonal antibody (IgG1) against vascular endothelial growth factor receptor 2 (VEGFR2), a type II trans-membrane tyrosine kinase receptor expressed on endothelial cells. By binding to VEGFR2, ramucirumab prevents binding of its ligands (VEGF-A, VEGF-C, and VEGF-D), thereby preventing VEGF-stimulated receptor phosphorylation and downstream ligand-induced proliferation, permeability, and migration of human endothelial cells.",,,,,,CHEMBL1743062,D09371
DB05595,Farletuzumab,biotech,896723-44-7,2O09BG0OWA,,investigational,Investigated for use/treatment in ovarian cancer.,,,,,,,,D09343
DB05607,PRX-08066,small molecule,,92E9B7675Y,,investigational,Investigated for use/treatment in chronic obstructive pulmonary disease (COPD) and pulmonary hypertension.,,OC(=O)\C=C\C(O)=O.FC1=C(C=C(CN2CCC(CC2)NC2=C3C=C(Cl)SC3=NC=N2)C=C1)C#N,RPYIKXHIQXRXEM-WLHGVMLRSA-N,517.96,3.88,,CHEMBL4297322,
DB05656,Veltuzumab,biotech,728917-18-8,BPD4DGQ314,,investigational,Investigated for use/treatment in lymphoma (non-hodgkin's).,,,,,,,,
DB05667,Levoketoconazole,small molecule,142128-57-2,2DJ8R0NT7K,H02CA04,approved,Levoketoconazole is indicated for the treatment of endogenous hypercortisolemia in adult patients with Cushing’s syndrome for whom surgery is not an option or has not been curative. Levoketoconazole is not indicated for the treatment of fungal infections.[L39563],"Cushing's syndrome (CS) is underpinned by chronic hypercortisolism leading to multisystem morbidity, including effects on the cardiovascular and endocrine systems, metabolic syndrome with accompanying changes in body composition, neuropsychiatric effects, changes in blood pressure and chemistry, and opportunistic infections. CS is most commonly caused by an ACTH-producing pituitary adenoma (ACTH-dependent CS) but may also be caused by an adrenal adenoma, adrenal carcinoma, or adrenal hyperplasia (ACTH-independent CS). As hypercortisolism is associated with significant morbidity and increased mortality, the primary goal of therapy is to normalize cortisol levels, either through surgical resection of the associated tumour or, when surgery is unsuccessful or inappropriate, radiological or chemotherapeutic treatment.[A244078, A244083]

Different medications target different axes of the underlying etiology of CS; steroidogenic enzyme inhibitors are effective against all forms of CS. [Keto",CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,531.431,4.19,,CHEMBL295698,
DB05668,Palifosfamide,small molecule,31645-39-3,6A4U6NN813,,investigational,"Investigated for use/treatment in cancer/tumors (unspecified), lymphoma (unspecified), and sarcoma.","After metabolic activation, palifosfamide alkylates or binds with many intracellular molecular structures, including nucleic acids. The cytotoxic action is primarily due to cross-linking of strands of DNA and RNA, as well as inhibition of protein synthesis.",OP(=O)(NCCCl)NCCCl,BKCJZNIZRWYHBN-UHFFFAOYSA-N,221.022,-0.39,,CHEMBL889,C16559
DB05676,Apremilast,small molecule,608141-41-9,UP7QBP99PN,L04AA32,approved|investigational,"Apremilast is indicated for the treatment of adults with active psoriatic arthritis and adults with oral ulcers associated with Behcet's Disease. In addition, apremilast is indicated for the treatment of plaque psoriasis, of any severity, in adult patients who are candidates for phototherapy or systemic therapy.[L7501]","The full mechanism of action of this drug is not fully established, however, it is known that apremilast is an inhibitor of phosphodiesterase 4 (PDE4), which mediates the activity of cyclic adenosine monophosphate (cAMP), a second messenger.[A181217] The inhibition of PDE4 by apremilast leads to increased intracellular cAMP levels.[L7501] An increase in cAMP results in the suppression of inflammation by decreasing the expression of TNF-α, IL-17, IL-23, and other inflammatory mediators. The above inflammatory mediators have been implicated in various psoriatic conditions as well as Behcet's disease, leading to their undesirable inflammatory symptoms such as mouth ulcers, skin lesions, and arthritis.[A181220,L7498,L7501] Apremilast administration leads to a cascade which eventually decreases the levels of the above mediators, relieving inflammatory symptoms.",CCOC1=CC(=CC=C1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,460.5,1.31,11561674,CHEMBL514800,D08860
DB05679,Ustekinumab,biotech,815610-63-0,FU77B4U5Z0,L04AC05,approved|investigational,"Ustekinumab is indicated for the management of moderate to severe plaque psoriasis in patients 6 years of age and older who are candidates for phototherapy or systemic therapy.[L9386] In adult patients, it is also indicated for the management of active psoriatic arthritis (PsA) alone or in combination with methotrexate, moderately to severely active Crohn’s disease (CD) and moderately to severely active ulcerative colitis.[L45484]","Interleukin (IL)-12 and IL-23 are heterodimeric cytokines that evoke immune and inflammatory responses, such as natural killer cell activation and CD4+ T-cell differentiation and activation.[L9386] The role of IL-12 and IL-23 were implicated in a variety of chronic inflammatory conditions, such as psoriasis and inflammatory bowel diseases. They modulate lymphocyte function, including T-helper (Th) 1 and Th17 cell subsets,[A187349] as CD4+ T cells can differentiate into T-helper (Th) effector lineages based on the environment. Th cells can further activate the downstream pro-inflammatory mediators and transcription factors such as TNFα and IFNγ that drive innate and adaptive immunity.[A187367] 

IL-12 and IL-23 share a common p40 subunit, paired with p35 and p19 subunits of IL-12 and IL-23, respectively. 
[A187367] The antigen-binding fragment (Fab) of ustekinumab binds the D1 domain of the p40 subunit of IL-12 and IL-23 in a 1:1 ratio.[A187367] This prevents IL-12 and IL-23 from bin",,,,,,CHEMBL1201835,D09214
DB05687,BL-1020,small molecule,,K1WO7H97QZ,,investigational,Investigated for use/treatment in schizophrenia and schizoaffective disorders.,"In radioligand binding studies, BL-1020 displayed strong interaction with dopamine receptors especially D<sub>2L</sub> and D<sub>2S</sub> (K<sub>i</sub> of 0.27 nM and 0.17 nM respectively), the serotonin receptor 5-HY<sub>2a</sub> (K<sub>i</sub> 0.25 nM) as well as moderate interaction with the GABAA receptor (K<sub>i</sub> 3.29 microK).",,,,,,,
DB05697,Trabedersen,biotech,925681-61-4,98OYR854NY,,investigational,"Investigated for use/treatment in brain cancer, colorectal cancer, melanoma, and pancreatic cancer.","AP 12009 is an antisense oligodeoxynucleotide that specifically inhibits TGF-beta2. TGF-beta overexpression is a hallmark of various malignant tumors. This is due to the pivotal role of TGF-beta as it regulates key mechanisms of tumor development, namely immunosuppression, metastasis, angiogenesis, and proliferation.",,,,,,,
DB05708,GTS-21,small molecule,148372-04-7,8S399XDN2K,,investigational,Investigated for use/treatment in alzheimer's disease and schizophrenia and schizoaffective disorders.,"Auditory sensory gating, a biological measurement of the ability to suppress the evoked response to the second of two auditory stimuli, is diminished in people with schizophrenia. Deficits in sensory gating are associated with attentional impairment, and may contribute to cognitive symptoms and perceptual disturbances. This inhibitory process, which involves the alpha(7) nicotinic receptor mediated release of gamma-aminobutyric acid (GABA) by hippocampal interneurons, represents a potential new target for therapeutic intervention in schizophrenia. GTS-21 is an orally active alpha-7 nicotinic acetylcholine (nACh) receptor agonist.",[H]\C(=C1\CCCN=C1C1=CN=CC=C1)C1=C(OC)C=C(OC)C=C1,RPYWXZCFYPVCNQ-RVDMUPIBSA-N,308.3743,2.96,5310985,CHEMBL134713,
DB05710,Gantacurium,small molecule,758669-50-0,N9VK9ZO25E,,investigational,Investigated for use/treatment in anesthesia (unspecified).,,COC1=CC(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N@@+]2(C)CCCOC(=O)C(\Cl)=C\C(=O)OCCC[N@@+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@@H]2C2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC,ZQLDXCSTJFLRPY-RWBXLJKRSA-N,993.58,-1.3,10772467,CHEMBL1182997,
DB05718,Maxy-G34,biotech,,,,investigational,Investigated for use/treatment in adverse effects (chemotherapy) and neutropenics.,"Neutropenia is a severe decrease in neutrophil cell counts in the blood. Neutropenia is a common side effect of chemotherapeutic treatments for many forms of cancer, including breast cancer, lung cancer, lymphomas and leukemias. Neutropenic patients contract bacterial infections more easily and often, some of which can be life threatening. Further, and most importantly, neutropenic patients may receive reduced or delayed chemotherapy treatment, which can result in cancer progression. Maxy-G34, like natural G-CSF is a protein that stimulates the body's bone marrow to produce neutrophils, a specific type of white blood cell that plays an important role in the defense against bacterial infections.",,,,,,,
DB05767,Andrographolide,small molecule,5508-58-7,410105JHGR,,investigational,Investigated for use/treatment in ulcerative colitis.,"HMPL-004 acts on multiple cellular targets in the inflammatory signal transduction pathways resulting in suppressed inflammation cytokine expression including TNF-α, IL-1β and IL-6. HMPL-004 was demonstrated to inhibit TNF-α and IL-1β production in cell-based assays. HMPL-004 is also able to inhibit NF-kB activation. NF-kB is a family of transcriptional factors that regulate a wide spectrum of genes critically involved in host defence and inflammation. The mechanism of action of HMPL-004 was further supported in laboratory IBD animal models. Treatment of IBD rats with HMPL-004 caused a significant drop in plasma cytokine concentrations, including TNF-α and IL-1β.",[H][C@]12CCC(=C)[C@@H](C\C=C3/[C@H](O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO,BOJKULTULYSRAS-OTESTREVSA-N,350.455,1.66,5318517,CHEMBL186141,
DB05773,Trastuzumab emtansine,biotech,1018448-65-1,SE2KH7T06F,L01FD03,approved|investigational,"Used in HER2-positive, metastatic breast cancer patients who have already used taxane and/or trastuzumab for metastatic disease or had their cancer recur within 6 months of adjuvant treatment.","Trastuzumab emtansine is a HER2 antibody-drug conjugate. The antibody portion is trastuzumab, which is humanized anti-HER2 IgG1, and produced in the mammalian Chinese Hamster Ovary cells. The drug portion is DM1, which is a maytansine derivative that inhibits microtubules. These two portions are covalently connected by 4-[N-maleimidomethyl] cyclohexane-1-carboxylate (MCC), which is a stable thioether linker. Together MCC and DM1 are called emtansine and are produced by chemical synthesis.

Trastuzumab emtansine binds to the HER2 receptor’s sub-domain IV and goes into the cell by receptor-mediated endocytosis. Lysosomes degrade trastuzumab emtansine and release DM1. DM1 binds to tubulin in microtubules and inhibits microtubule function producing cell arrest and apoptosis. As well, similar to trastuzumab, in vitro studies have shown that both HER2 receptor signalling inhibition and antibody-dependent cytotoxicity are mediated by trastuzumab emtansine.",,,,,,CHEMBL1743082,D09980
DB05779,Oglufanide,small molecule,38101-59-6,4RHY598T5U,,investigational,"Investigated for use/treatment in hepatitis (viral, C).",,N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,LLEUXCDZPQOJMY-AAEUAGOBSA-N,333.344,-2.2,100094,CHEMBL2111029,
DB05786,Irofulven,small molecule,158440-71-2,6B799IH05A,,investigational,"Investigated for use/treatment in brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, pediatric indications, prostate cancer, and sarcoma.","MGI-114(Irofulven) has unique mechanism of action as an anti-tumor agent is due to its ability to be rapidly absorbed by tumor cells.  Once inside the cells, the compound binds to DNA and protein targets.  This binding interferes with DNA replication and cell division of tumor cells, leading to tumor-specific apoptotic cell death, or “cell suicide.”  During this process, tumor cells tend to automatically shut themselves down when they sense their function is compromised.",CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,NICJCIQSJJKZAH-AWEZNQCLSA-N,246.3016,0.67,148189,CHEMBL118218,
DB05793,PRO-542,biotech,,,,investigational,"Investigated for use/treatment in acquired immune deficiency syndrome (AIDS) and aids-related infections, HIV infection, and pediatric indications.","PRO 542 binds to the viral surface glycoprotein gp120 and blocks attachment and entry of virus into CD4(+) cells.Unlike currently approved therapies that block viral replication in cells already infected with HIV, PRO 542 is an antibody-like molecule that is designed to target and neutralize the virus in the bloodstream.

Single doses of PRO 542 reduced concentrations of the human immunodeficiency (HIV) in the blood by 60% to 80% in a target population of highly treatment-experienced patients with PRO 542-sensitive virus.",,,,,,,
DB05797,Talizumab,biotech,,9591BL735Z,,experimental,Investigated for use/treatment in allergic reaction.,TNX-901 is an anti-IgE antibody. IgE antibody is the receptor responsible for allergic reactions and severe asthma attacks. An anti-IgE antibody binds IgE and prevents it from initiating an allergic reaction.,,,,,,,
DB05804,Prasterone sulfate,small molecule,651-48-9,57B09Q7FJR,,investigational,Investigated for use/treatment in asthma and burns and burn infections.,"The low levels of dehydroepiandrosterone sulfate(DHEA-S)is associated with unfavorable levels of several strong cardiovascular disease risk factors, such as lipids and blood pleasure, which are components of the metabolic syndrome, and insulin levels. DHEA-S deficiency is risk factors of obesity and insulin resistance, but it is not clear, whether this possible influence is independent.",[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,CZWCKYRVOZZJNM-USOAJAOKSA-N,368.488,3.42,12594,CHEMBL259898,C04555
DB05812,Abiraterone,small molecule,154229-19-3,G819A456D0,L01XK52|L02BX53|L02BX03,approved|investigational,"Abiraterone is indicated for the treatment of **metastatic castration-resistant prostate cancer (mCRPC)** in combination with [methylprednisolone] [L40968] or [prednisone].[L40193, L47740, L47745] 

In Europe and Canada, it is also used in patients with mCRPC who are asymptomatic or mildly symptomatic after the failure of androgen deprivation therapy for whom chemotherapy is not yet clinically indicated.[L47740, L47745] In Europe, it is used in patients whose disease has progressed on or after a docetaxel-based chemotherapy regimen.[L47740] In Canada, it is used in patients who have received prior chemotherapy containing [docetaxel] after the failure of androgen deprivation therapy.[L47745]

Abiraterone is indicated in combination with [prednisone] for the treatment of **metastatic high-risk castration-sensitive prostate cancer (CSPC)**.[L40193] In Europe and Canada, it may also be used in combination with [prednisolone] and androgen deprivation therapy in newly diagnosed patients.","17α-hydroxylase/C17,20-lyase (CYP17) is a key enzyme in androgen biosynthesis. It is primarily expressed in testicular, adrenal, and prostatic tumours. CYP17 catalyzes the 17α-hydroxylation of pregnenolone and progesterone to their 17α-hydroxy derivative, followed by subsequent cleavage of the C 20,21-acetyl group to yield dehydroepiandrosterone (DHEA) and androstenedione. DHEA and androstenedione are precursors of testosterone.[A260870, L40968] Aberrant androgen levels and unregulated androgen receptor signalling have been implicated in the development and progression of various prostate cancers.[A260875] Androgen-sensitive prostatic carcinoma responds to treatment that decreases androgen levels. Androgen deprivation therapies, such as treatment with GnRH agonists or orchiectomy, decrease androgen production in the testes but do not affect androgen production by the adrenals or in the tumour.[A3810, L40968]

Abiraterone inhibits CYP17 to block androgen production. Inhibition of CYP1",[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,GZOSMCIZMLWJML-VJLLXTKPSA-N,349.509,3.97,132971,CHEMBL254328,D09701
DB05814,GPI-1485,small molecule,186268-78-0,0709BVY57W,,investigational,Investigated for use/treatment in erectile dysfunction and parkinson's disease.,GPI 1485 belongs to a class of small molecule compounds called neuroimmunophilin ligands which are a family of binding proteins that are highly conserved in nature and mediate the actions of immunosuppressant drugs. The FK-506-binding protein (FKBP) subclass of immunophilin bind FK-506 and rapamycin and are of particular interest due to their potent neurotrophic activity.,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(O)=O,FOPALECPEUVCTL-QMMMGPOBSA-N,241.287,2.05,9837656,,
DB05829,Parathyroid hormone,biotech,9002-64-6,N19A0T0E5J,H05AA03,approved,For use/treatment in osteoporosis.,"The biological actions of rhPTH are mediated through binding to at least two distinct high- affinity cell-surface receptors specific for the N-terminal and C-terminal regions of the molecule, both of which are required for normal bone metabolism. The N-terminal portion of the molecule is primarily responsible for the bone building effects of parathyroid hormone. The C-terminal portion of the molecule has antiresorptive activity and is necessary for normal regulation of N-terminal fragment activity.",,,,,,,C16051
DB05830,Trestolone,small molecule,3764-87-2,40P3287I94,,investigational,Investigated for use/treatment in contraception and male hormonal deficiencies/abnormalities.,"Trestolone is a potent inhibitor of the release of the luteinizing hormone (LH) and follicle stimulating hormone (FSH). As spermatogenesis requires both testosterone and FSH, it is impaired by the reduction in FSH caused by trestolone as well as the reduction in LH, and subsequent reduction in testosterone.",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3C[C@@H](C)[C@@]21[H],YSGQGNQWBLYHPE-CFUSNLFHSA-N,288.431,3.35,19582,,
DB05860,Peginterferon alfacon-1,biotech,,,,experimental,"Investigated for use/treatment in hepatitis (viral, C).","The effect of PEGylation is to increase drug circulation time in the bloodstream, improve drug solubility and stability, and reduce immunogenicity. The potential advantages of PEGylation are to decrease dosing frequency, improve drug efficacy and safety, improve stability, and simplify drug formulation.",,,,,,,
DB05875,"Sar9, Met (O2)11-Substance P",small molecule,110880-55-2,8V0QAFPRXV,,investigational,Investigated for use/treatment in acute respiratory distress syndrome (ARDS) and viral infection.,"The endogenous receptor for Substance P is neurokinin 1 receptor (NK1-receptor, NK1R). Substance P has been shown to stimulate cellular growth in cell culture [2], and it was shown that Substance P could promote wound healing of non-healing ulcers in humans. [3] It has also been shown to reverse diabetes in mice.",CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,OUPXSLGGCPUZJJ-SARDKLJWSA-N,1393.68,-7.8,,CHEMBL1651026,
DB05885,Seletracetam,small molecule,357336-74-4,RFR2CH3QZK,,investigational,Investigated for use/treatment in epilepsy.,"Seletracetam binds to SV2A in a stereospecific and selective manner. SV2A is a membrane glycoprotein present in synaptic vesicles of neurons that plays a role as calcium regulators in neurotransmitter release and modulate synaptic networks. Seletracetam is thought to reduce excessive neuronal activity by modulating SV2A function and restoring the ability of a neuron to regulate its neurotransmitter release.
Seizure generation induces a sustained membrane depolarization causing a prolonged firing of voltage-dependent calcium currents sufficient to induce a significant rise in calcium concentration. High voltage-activated calcium currents are inhibited by seletracetam by blocking N-type calcium channels in the pyramidal neurons. The drug reduces the degree of calcium influx and decreases the intraneuronal calcium concentration, blocking the abnormal fluctuations in membrane potential occurring during epileptic discharges.",CC[C@H](N1C[C@@H](CC1=O)C=C(F)F)C(N)=O,ANWPENAPCIFDSZ-RQJHMYQMSA-N,232.2272,0.091,9942725,CHEMBL3918017,D05817
DB05889,Inotuzumab ozogamicin,biotech,635715-01-4,P93RUU11P7,L01FB01,approved|investigational,"In the US, inotuzumab ozogamicin is indicated for the treatment of relapsed or refractory CD22-positive B-cell precursor acute lymphoblastic leukemia (ALL) in adult and pediatric patients one year and older.[L50542]

In Europe, it is indicated as monotherapy for the treatment of adults with relapsed or refractory CD22-positive B cell precursor ALL. Patients with Philadelphia chromosome positive (Ph+) relapsed or refractory B cell precursor ALL should have failed treatment with at least 1 tyrosine kinase inhibitor (TKI).[L938]","Leukemic cells express several lineage-specific antigens, with CD22 being one of the most common antigens identified on the surface of mature and immature B cells.[A20352, A20353, A20354]

Inotuzumab ozogamicin is a CD22-directed antibody-drug conjugate (ADC) composed of a CD22-directed humanized monoclonal IgG4 antibody linked to a N-acetyl-gamma-calicheamicin, a DNA-binding cytotoxic agent, via a linker.[L50542] The antibody portion of the drug binds to CD22-expressing tumour cells, leading to internalization of the drug-CD22 complex forming an endosome.[A20352, L50542] The endosome fuses with lysosomes, causing the hydrolytic cleavage of the linker and the intracellular release of N-acetyl-gamma-calicheamicin into the cell.[A20352] N-acetyl-gamma-calicheamicin binds to the minor groove of the DNA in a sequence-specific manner and induces double-strand DNA breaks in tumour cells,[A20352, A20353] ultimately causing cell cycle arrest and apoptotic cell death.[A263562, L50542]",,,,,,,
DB05892,RI 624,biotech,,,,experimental,Investigated for use/treatment in pain (acute or chronic).,"RI 624 works very differently from all currently approved drugs for the treatment of pain. Unlike the other pain relievers, RI 624 primarily works to inhibit the production of NGF, rather than COX-2 for instance. NGF is a member of a family of proteins known as neurotrophins that plays a role in the growth of certain sensory neurons, an activity that appears to end at birth or shortly afterward. Pain-causing injury or inflammation induces the synthesis and stimulates the release of NGF in later stages of life. Scientific observation has shown that the up-regulation of NGF is a common component of the inflammatory response that initiates and sustains the pain sensation. NGF therefore appears to have profound direct and indirect stimulatory effects on the primary sensory neurons that mediate pain. RI 624 essentially blocks NGF from binding to its target area and thus impedes an imflammatory response.",,,,,,,
DB05903,KOS-1584,small molecule,350493-61-7,82481G197K,,investigational,Investigated for use/treatment in solid tumors.,Epothilones are highly potent microtubulin stabilizing compounds with a similar mechanism of action to taxanes and broad applicability in a wide range of tumors. Epothilones are active in both taxane-sensitive and taxane-resistant cancers and have demonstrated low susceptibility to tumor resistance mechanisms.,C[C@H]1\C=C\C\C(C)=C/C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\C1=CSC(C)=N1,XAYAKDZVINDZGB-BMVMHAJPSA-N,489.67,4.73,6918835,,
DB05915,Stamulumab,biotech,705287-60-1,V43X8G4797,,investigational,Investigated for use/treatment in muscular dystrophy.,"MYO-029 is used to treat muscular dystrophy. It binds to and inhibit the activity of myostatin (growth and differentiation factor 8 or GDF-8), a protein that prevents skeletal muscle formation. Muscular dystrophy is characterized by a progressive wasting and weakening of muscle fibers. The disorder can be classified into six major types, all of which are inherited. The common feature of these disorders is absence of one of several proteins involved in linking F-actin (a muscle fiber component) to the sheath of tissue surrounding the fiber.",,,,,,,
DB05916,CT-011,biotech,,,,investigational,Investigated for use/treatment in cancer/tumors (unspecified).,"CT-011 blocks interaction between the receptor PD-1 with its ligands, PD-1 ligand 1 (PD-1L1) and PD-1 ligand 2 (PD-1L2), resulting in the attenuation of apoptotic processes in lymphocytes, primarily effector/memory T cells, and the augmentation of the anti-tumor activities of NK cells. PD-1 is an inhibitory receptor belonging to the B7-receptor family that is expressed on lymphocytes and myeloid cells; its ligands, PD-1L1 and PD-1L2, are expressed not only by hematopoietic cells but also by cells in non-lymphoid tissues.",,,,,,,
DB05928,Dovitinib,small molecule,405169-16-6,I35H55G906,,investigational,Investigated for use/treatment in multiple myeloma and solid tumors.,"Unlike many kinase inhibitors that only target vascular endothelial growth factor (VEGF), Dovitinib inhibits receptors in the fibroblast growth factor (FGF ) pathway, as well as VEGF and platelet-derived growth factor (PDGF). FGF receptor tyrosine kinase inhibition is potentially of therapeutic significance to a group of myeloma patients whose cancer cells express high levels of surface FGF receptors.",CN1CCN(CC1)C1=CC=C2N=C(NC2=C1)C1=C(N)C2=C(NC1=O)C=CC=C2F,PIQCTGMSNWUMAF-UHFFFAOYSA-N,392.438,1.35,9977819,CHEMBL522892,
